dataset,algo,embed,fold,acc
FNFC,CS-DT,BERT+SBERT,3,0.78328611898017
FNFC,CS-SVM (RBF),GloVe+SBERT,3,0.9121813031161473
FNFC,CS-LR,BERT+MPNet,3,0.8696883852691218
FNFC,CS-SVM (Linear),SBERT+MPNet,3,0.9043909348441926
FNFC,CS-RF,GloVe+MPNet,3,0.8654390934844193
FNFC,CS-DT,BERT+MPNet,3,0.8009915014164306
FNFC,CS-SVM (RBF),Word2Vec+MPNet,3,0.8944759206798867
FNFC,CS-SVM (Linear),BERT+MPNet,3,0.8873937677053825
FNFC,CS-LR,SBERT+MPNet,3,0.8888101983002833
FNFC,CS-RF,BERT+SBERT,3,0.8668555240793201
FNFC,CS-DT,SBERT+MPNet,3,0.7939093484419264
FNFC,CS-SVM (RBF),GloVe+MPNet,3,0.9093484419263456
FNFC,CS-SVM (RBF),BERT+SBERT,3,0.8994334277620396
FNFC,CS-RF,BERT+MPNet,3,0.8661473087818697
FNFC,CS-RF,SBERT+MPNet,3,0.8689801699716714
FNFC,CS-SVM (RBF),BERT+MPNet,3,0.8973087818696884
FNFC,CS-SVM (RBF),SBERT+MPNet,3,0.9107648725212465
FNFC,CS-SVM (RBF),TF-IDF+BERT,3,0.8987252124645893
FNFC,CS-SVM (RBF),TF-IDF+GloVe,3,0.9050991501416431
FNFC,CS-SVM (RBF),TF-IDF+SBERT,3,0.9213881019830028
FNFC,CS-SVM (RBF),TF-IDF+MPNet,3,0.9171388101983002
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec,3,0.8781869688385269
FNFC,CS-SVM (Linear),TF-IDF+GloVe,4,0.8923512747875354
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec,4,0.8994334277620396
FNFC,CS-SVM (Linear),TF-IDF+SBERT,4,0.910056657223796
FNFC,CS-SVM (Linear),TF-IDF+BERT,4,0.9029745042492918
FNFC,CS-RF,TF-IDF+GloVe,4,0.8569405099150141
FNFC,CS-DT,TF-IDF+GloVe,4,0.8264872521246459
FNFC,CS-SVM (Linear),TF-IDF+MPNet,4,0.9107648725212465
FNFC,CS-RF,TF-IDF+Word2Vec,4,0.8562322946175638
FNFC,CS-RF,TF-IDF+BERT,4,0.8562322946175638
FNFC,CS-RF,TF-IDF+SBERT,4,0.8576487252124646
FNFC,CS-DT,TF-IDF+BERT,4,0.8236543909348442
FNFC,CS-DT,TF-IDF+Word2Vec,4,0.8420679886685553
FNFC,CS-SVM (Linear),Word2Vec+GloVe,4,0.8703966005665722
FNFC,CS-LR,TF-IDF+SBERT,4,0.9114730878186968
FNFC,CS-DT,TF-IDF+SBERT,4,0.8172804532577904
FNFC,CS-DT,Word2Vec+GloVe,4,0.7669971671388102
FNFC,CS-RF,TF-IDF+MPNet,4,0.8590651558073654
FNFC,CS-LR,Word2Vec+GloVe,4,0.8569405099150141
FNFC,CS-DT,TF-IDF+MPNet,4,0.8314447592067988
FNFC,CS-LR,TF-IDF+GloVe,4,0.8859773371104815
FNFC,CS-LR,TF-IDF+BERT,4,0.886685552407932
FNFC,CS-DT,Word2Vec+BERT,4,0.7705382436260623
FNFC,CS-LR,Word2Vec+BERT,4,0.8661473087818697
FNFC,CS-SVM (Linear),Word2Vec+SBERT,4,0.8958923512747875
FNFC,CS-LR,TF-IDF+MPNet,4,0.9114730878186968
FNFC,CS-LR,Word2Vec+SBERT,4,0.8944759206798867
FNFC,CS-SVM (Linear),Word2Vec+BERT,4,0.863314447592068
FNFC,CS-RF,Word2Vec+GloVe,4,0.8569405099150141
FNFC,CS-RF,Word2Vec+BERT,4,0.8583569405099151
FNFC,CS-LR,TF-IDF+Word2Vec,4,0.8958923512747875
FNFC,CS-SVM (Linear),Word2Vec+MPNet,4,0.8909348441926346
FNFC,CS-DT,Word2Vec+SBERT,4,0.7747875354107648
FNFC,CS-SVM (RBF),Word2Vec+BERT,4,0.9036827195467422
FNFC,CS-LR,Word2Vec+MPNet,4,0.886685552407932
FNFC,CS-SVM (Linear),GloVe+BERT,4,0.873229461756374
FNFC,CS-DT,Word2Vec+MPNet,4,0.7847025495750708
FNFC,CS-LR,GloVe+BERT,4,0.8703966005665722
FNFC,CS-SVM (RBF),Word2Vec+GloVe,4,0.8675637393767706
FNFC,CS-DT,GloVe+BERT,4,0.7754957507082153
FNFC,CS-SVM (Linear),GloVe+SBERT,4,0.8944759206798867
FNFC,CS-LR,GloVe+SBERT,4,0.8852691218130312
FNFC,CS-DT,GloVe+SBERT,4,0.7726628895184136
FNFC,CS-RF,Word2Vec+SBERT,4,0.8597733711048159
FNFC,CS-RF,Word2Vec+MPNet,4,0.8604815864022662
FNFC,CS-RF,GloVe+BERT,4,0.8562322946175638
FNFC,CS-SVM (Linear),GloVe+MPNet,4,0.8930594900849859
FNFC,CS-DT,GloVe+MPNet,4,0.7875354107648725
FNFC,CS-LR,GloVe+MPNet,4,0.8831444759206799
FNFC,CS-RF,GloVe+SBERT,4,0.8569405099150141
FNFC,CS-LR,BERT+SBERT,4,0.8753541076487252
FNFC,CS-SVM (RBF),Word2Vec+SBERT,4,0.8930594900849859
FNFC,CS-SVM (RBF),GloVe+BERT,4,0.9043909348441926
FNFC,CS-DT,BERT+SBERT,4,0.7783286118980169
FNFC,CS-SVM (Linear),BERT+SBERT,4,0.8803116147308782
FNFC,CS-SVM (RBF),GloVe+SBERT,4,0.9043909348441926
FNFC,CS-RF,GloVe+MPNet,4,0.8597733711048159
FNFC,CS-LR,BERT+MPNet,4,0.8788951841359773
FNFC,CS-SVM (RBF),Word2Vec+MPNet,4,0.8930594900849859
FNFC,CS-DT,BERT+MPNet,4,0.7818696883852692
FNFC,CS-SVM (Linear),SBERT+MPNet,4,0.9036827195467422
FNFC,CS-SVM (Linear),BERT+MPNet,4,0.8845609065155807
FNFC,CS-RF,BERT+SBERT,4,0.8590651558073654
FNFC,CS-LR,SBERT+MPNet,4,0.8902266288951841
FNFC,CS-SVM (RBF),BERT+SBERT,4,0.9029745042492918
FNFC,CS-DT,SBERT+MPNet,4,0.7875354107648725
FNFC,CS-RF,BERT+MPNet,4,0.863314447592068
FNFC,CS-SVM (RBF),GloVe+MPNet,4,0.9008498583569405
FNFC,CS-RF,SBERT+MPNet,4,0.8611898016997167
FNFC,CS-SVM (RBF),BERT+MPNet,4,0.9036827195467422
FNFC,CS-SVM (RBF),SBERT+MPNet,4,0.9065155807365439
FNFC,CS-SVM (RBF),TF-IDF+BERT,4,0.9043909348441926
FNFC,CS-SVM (RBF),TF-IDF+GloVe,4,0.8902266288951841
FNFC,CS-SVM (RBF),TF-IDF+SBERT,4,0.9058073654390935
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec,4,0.8831444759206799
FNFC,CS-SVM (RBF),TF-IDF+MPNet,4,0.9029745042492918
PROMISE,CS-SVM (Linear),TF-IDF+Word2Vec,0,0.7474226804123711
PROMISE,CS-SVM (Linear),TF-IDF+GloVe,0,0.7577319587628866
PROMISE,CS-LR,TF-IDF+Word2Vec,0,0.6649484536082474
PROMISE,CS-DT,TF-IDF+Word2Vec,0,0.5257731958762887
PROMISE,CS-DT,TF-IDF+GloVe,0,0.4484536082474227
PROMISE,CS-LR,TF-IDF+GloVe,0,0.711340206185567
PROMISE,CS-SVM (Linear),TF-IDF+MPNet,0,0.8041237113402062
PROMISE,CS-RF,TF-IDF+Word2Vec,0,0.5463917525773195
PROMISE,CS-SVM (RBF),TF-IDF+GloVe,0,0.6907216494845361
PROMISE,CS-SVM (RBF),TF-IDF+Word2Vec,0,0.5927835051546392
PROMISE,CS-LR,TF-IDF+MPNet,0,0.7835051546391752
PROMISE,CS-SVM (RBF),Word2Vec+GloVe,0,0.6494845360824743
PROMISE,CS-RF,TF-IDF+SBERT,0,0.5515463917525774
PROMISE,CS-SVM (Linear),Word2Vec+GloVe,0,0.7268041237113402
PROMISE,CS-LR,Word2Vec+GloVe,0,0.6907216494845361
PROMISE,CS-DT,TF-IDF+MPNet,0,0.4484536082474227
PROMISE,CS-SVM (RBF),Word2Vec+BERT,0,0.7268041237113402
PROMISE,CS-DT,Word2Vec+GloVe,0,0.39690721649484534
PROMISE,CS-LR,Word2Vec+BERT,0,0.7268041237113402
PROMISE,CS-SVM (RBF),TF-IDF+MPNet,0,0.7577319587628866
PROMISE,CS-SVM (Linear),Word2Vec+BERT,0,0.7010309278350515
PROMISE,CS-RF,TF-IDF+MPNet,0,0.5979381443298969
